model code|option code|option description|price|pricfrom|priceto|model year|incl_tax|active|deleted|standard
4A2SFA|1D4|Trailer hitch|               17826.09|20230803|99991231|2024|N|Y|N|N
4A2SFA|1D9|Trailer hitch w/trailer maneuvering sys.|               18904.35|20220615|99991231|2023|N|Y|N|N
4A2SFA|1XP|Leather steering wheel, 3-spoke with mul|                   0.00|20220615|99991231|2023|N|Y|N|Y
4A2SFA|1XP|Leather steering wheel, 3-spoke with mul|                5739.13|20230803|99991231|2024|N|Y|N|N
4A2SFA|2V9|No Option Description - Contact VWSA IT|                8086.96|20230803|99991231|2024|N|Y|N|N
4A2SFA|3Y5|Elec. sunshade the rear wind., man. suns|                8034.78|20220615|99991231|2023|N|Y|N|N
4A2SFA|44Z|21" Wheels, 5-double-spoke V-style|               15217.39|20220615|99991231|2023|N|Y|N|N
4A2SFA|4A4|Seat heating, front and rear|                6121.74|20220615|99991231|2023|N|Y|N|N
4A2SFA|4A4|Seat heating, front and rear|                7043.48|20230803|99991231|2024|N|Y|N|N
4A2SFA|4D3|Seat ventilation in front|               12695.65|20220615|99991231|2023|N|Y|N|N
4A2SFA|4X4|Side airbags in front,rear,curtain|                7034.78|20220615|99991231|2023|N|Y|N|N
4A2SFA|4X9|No Option Description - Contact VWSA IT|               13391.30|20230803|99991231|2024|N|Y|N|N
4A2SFA|4ZD|Black Styling package|                9539.13|20220615|99991231|2023|N|Y|N|N
4A2SFA|4ZD|Black Styling package|               11130.43|20230803|99991231|2024|N|Y|N|N
4A2SFA|4ZP|Black Styling package plus|               12608.70|20220615|99991231|2023|N|Y|N|N
4A2SFA|4ZP|Black Styling package plus|               14434.78|20230803|99991231|2024|N|Y|N|N
4A2SFA|510|STANDARD AFP - 60(MON)/ 100000(KM)|               96560.00|20221201|99991231|2023|N|Y|N|N
4A2SFA|510|STANDARD AFP - 60(MON)/ 100000(KM)|              112986.00|20240401|99991231|2024|N|Y|N|N
4A2SFA|C6P|No Option Description - Contact VWSA IT|               22173.91|20230803|99991231|2024|N|Y|N|N
4A2SFA|9TG|Entry LED with logo projection, front|                2347.83|20230803|99991231|2024|N|Y|N|N
4A2SFA|9TG|Entry LED with logo projection, front|                1826.09|20220615|99991231|2023|N|Y|N|N
4A2SFA|9R1|Night vision assist|               40000.00|20230803|99991231|2024|N|Y|N|N
4A2SFA|9R1|Night vision assist|               33852.17|20220615|99991231|2023|N|Y|N|N
